19,350
19,10625
19,1034716
19,1287141
20,6615
20,195173
22,920
22,9502
22,11836
22,62213
22,207703
22,214756
22,238713
22,330457
22,338969
22,414223
22,502356
22,508947
22,573435
22,616037
22,748783
22,939243
22,991494
22,1017163
22,1084242
24,9502
24,718930
26,303991
26,1287141
27,615777
28,350
28,7446
28,10625
28,195173
28,1034716
28,1287141
28,1290504
33,648878
35,808
35,810
35,920
35,953
35,2062
35,6615
35,7446
35,9502
35,11836
35,20352
35,49013
35,62213
35,64688
35,207703
35,238713
35,270946
35,338969
35,454626
35,502356
35,512200
35,616037
35,718930
35,748783
35,787699
35,939243
35,991494
35,1029575
35,1072790
35,1124620
35,1241982
35,1245993
35,1274214
35,1280282
35,1304434
38,350
38,6615
38,50646
38,257344
38,303991
55,496243
58,810
58,920
58,9502
58,11836
58,62213
58,214756
58,238713
58,330457
58,338969
58,414223
58,502356
58,508947
58,573435
58,616037
58,748783
58,939243
58,991494
59,648878
62,808
62,20352
62,550988
62,812583
62,939243
63,338969
63,661374
63,812583
63,1017163
63,1245993
64,350
64,6615
64,50646
64,303991
64,993708
64,1034716
65,10625
65,58410
66,257344
66,1274214
67,50646
67,1034716
67,1287141
68,4247
68,7446
68,38365
68,62213
68,111493
68,207703
68,303991
68,338969
68,346698
68,496243
68,648878
68,661374
68,812583
68,845781
68,991494
68,1124620
68,1287141
68,1290504
68,1318691
69,10625
69,303991
70,6615
70,496243
71,810
71,920
71,953
71,10625
71,20352
71,38365
71,50646
71,58410
71,257344
71,454626
71,508947
71,748783
71,895973
71,1034716
71,1124620
71,1128614
71,1241982
71,1280282
73,50646
73,496243
74,808
74,257344
74,718930
74,1245993
75,808
75,4247
75,7446
75,64688
75,111493
75,207703
75,257344
75,496243
75,616037
75,648878
75,661374
75,748783
75,1124620
75,1318691
77,661374
77,812583
78,350
78,550988
78,615777
78,718930
78,1245993
79,9502
79,11836
79,1017163
80,1159206
82,64688
82,573435
85,11469
85,207703
85,512200
85,1017163
85,1084242
87,512200
88,58410
88,895973
89,11469
89,454626
90,920
90,38365
90,62213
90,64688
90,454626
90,502356
90,508947
90,573435
90,615777
90,648878
90,661374
90,812583
90,845781
90,1084242
93,1245993
95,810
95,7446
95,11836
95,20352
95,49013
95,64688
95,238713
95,454626
95,502356
95,512200
95,616037
95,718930
95,939243
95,1029575
95,1241982
95,1280282
96,810
96,38365
96,49013
96,111493
96,214756
96,330457
96,414223
96,573435
96,1017163
96,1084242
96,1241982
97,550988
98,238713
98,270946
99,38365
99,1128614
100,1124620
102,195173
103,58410
105,11469
105,49013
105,346698
105,1029575
105,1363899
106,20352
106,270946
107,8446
107,8467
107,8471
107,8491
107,466081
107,508947
107,615777
108,1159206
111,481533
111,615777
112,808
112,953
112,195173
112,346698
112,394689
112,1280282
114,2062
114,49013
114,1072790
115,481533
115,845781
118,314095
118,505873
118,505953
118,506398
118,787699
118,894821
123,346698
128,953
128,270946
128,330457
128,1280282
129,330457
129,512200
134,1084242
136,1363899
137,346698
137,845781
138,11469
138,1072790
139,481533
141,11469
141,1290504
142,1128614
144,1114967
145,58410
146,270946
147,1159206
